workload,phase,samples,request_count,mean_ai_core_util_pct,p95_ai_core_util_pct,mean_hbm_bandwidth_util_pct,p95_hbm_bandwidth_util_pct,mean_power_w
single_agent_control,prefill,0,2,,,,,
single_agent_control,decode,4,2,90.20833333333333,92.7,58.20833333333333,73.95,262.275
independent_fanin,prefill,0,6,,,,,
independent_fanin,decode,8,6,82.83333333333333,96.0,64.0625,74.43333333333334,271.3375
centralized_manager_worker,prefill,0,6,,,,,
centralized_manager_worker,decode,11,6,84.13636363636364,94.33333333333334,72.89393939393939,75.83333333333334,276.05454545454546
debate_allgather_pressure_meso,prefill,1,14,98.66666666666667,98.66666666666667,25.666666666666668,25.666666666666668,279.5
debate_allgather_pressure_meso,decode,19,14,89.8859649122807,100.0,62.13157894736842,73.36666666666666,284.24210526315784
shared_memory_fanin_meso,prefill,1,10,88.66666666666667,88.66666666666667,73.33333333333333,73.33333333333333,283.2
shared_memory_fanin_meso,decode,16,10,91.70833333333333,94.5,73.36458333333333,74.91666666666667,283.15625
retry_debug_loop,prefill,2,6,92.83333333333334,92.98333333333333,74.0,74.0,284.75
retry_debug_loop,decode,13,6,87.1923076923077,93.8,64.7051282051282,73.8,282.1461538461538
hierarchical_synthesis_pressure_meso,prefill,2,8,89.16666666666666,89.31666666666666,52.666666666666664,67.66666666666666,282.7
hierarchical_synthesis_pressure_meso,decode,10,8,89.21666666666667,92.03333333333333,69.36666666666667,75.0,280.81
issue_to_patch_workflow,prefill,0,15,,,,,
issue_to_patch_workflow,decode,28,15,89.9047619047619,97.06666666666666,69.16666666666667,75.0,281.75714285714287
