agent_id,agent_role,branch_id,child_node_ids,dependency_type,duration_sec,end_time,is_critical_path,loop_iteration_id,motif_type,node_id,node_type,parent_node_ids,round_id,start_time,workflow_name,workflow_run_id
debate_web_context_search,tool,,"[""opinion_1"", ""opinion_2"", ""opinion_3"", ""opinion_4"", ""opinion_5"", ""opinion_6""]",tool_dependency,6.811171,6.914407,False,0,debate,debate_web_context_search,tool,"[""START""]",,0.10323599999999988,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_3,peer_agent,local_opinions,"[""agent_1_round_1"", ""agent_2_round_1"", ""agent_3_round_1"", ""agent_4_round_1"", ""agent_5_round_1"", ""agent_6_round_1""]",sequential,6.715024,13.6509,False,0,debate,opinion_3,peer_agent,"[""debate_web_context_search""]",,6.935876,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_1,peer_agent,local_opinions,"[""agent_1_round_1"", ""agent_2_round_1"", ""agent_3_round_1"", ""agent_4_round_1"", ""agent_5_round_1"", ""agent_6_round_1""]",sequential,6.714117,13.654945,False,0,debate,opinion_1,peer_agent,"[""debate_web_context_search""]",,6.940828,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_2,peer_agent,local_opinions,"[""agent_1_round_1"", ""agent_2_round_1"", ""agent_3_round_1"", ""agent_4_round_1"", ""agent_5_round_1"", ""agent_6_round_1""]",sequential,6.71331,13.655319,False,0,debate,opinion_2,peer_agent,"[""debate_web_context_search""]",,6.9420090000000005,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_5,peer_agent,local_opinions,"[""agent_1_round_1"", ""agent_2_round_1"", ""agent_3_round_1"", ""agent_4_round_1"", ""agent_5_round_1"", ""agent_6_round_1""]",sequential,6.710397,13.655769,False,0,debate,opinion_5,peer_agent,"[""debate_web_context_search""]",,6.945371999999999,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_6,peer_agent,local_opinions,"[""agent_1_round_1"", ""agent_2_round_1"", ""agent_3_round_1"", ""agent_4_round_1"", ""agent_5_round_1"", ""agent_6_round_1""]",sequential,6.708162,13.655983,False,0,debate,opinion_6,peer_agent,"[""debate_web_context_search""]",,6.947821000000001,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_4,peer_agent,local_opinions,"[""agent_1_round_1"", ""agent_2_round_1"", ""agent_3_round_1"", ""agent_4_round_1"", ""agent_5_round_1"", ""agent_6_round_1""]",sequential,6.707272,13.656243,False,0,debate,opinion_4,peer_agent,"[""debate_web_context_search""]",,6.948971,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_1->agent_1_round_1,edge,all_gather_r1,[],debate_round,0.0,13.659429,False,0,debate,opinion_1->agent_1_round_1,edge,[],1,13.659429,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_1->agent_2_round_1,edge,all_gather_r1,[],debate_round,0.0,13.659918,False,0,debate,opinion_1->agent_2_round_1,edge,[],1,13.659918,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_1->agent_3_round_1,edge,all_gather_r1,[],debate_round,0.0,13.660115,False,0,debate,opinion_1->agent_3_round_1,edge,[],1,13.660115,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_2->agent_1_round_1,edge,all_gather_r1,[],debate_round,0.0,13.660296,False,0,debate,opinion_2->agent_1_round_1,edge,[],1,13.660296,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_1->agent_4_round_1,edge,all_gather_r1,[],debate_round,0.0,13.660594,False,0,debate,opinion_1->agent_4_round_1,edge,[],1,13.660594,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_3->agent_1_round_1,edge,all_gather_r1,[],debate_round,0.0,13.660893,False,0,debate,opinion_3->agent_1_round_1,edge,[],1,13.660893,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_2->agent_2_round_1,edge,all_gather_r1,[],debate_round,0.0,13.661045,False,0,debate,opinion_2->agent_2_round_1,edge,[],1,13.661045,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_1->agent_5_round_1,edge,all_gather_r1,[],debate_round,0.0,13.661219,False,0,debate,opinion_1->agent_5_round_1,edge,[],1,13.661219,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_2->agent_4_round_1,edge,all_gather_r1,[],debate_round,0.0,13.66137,False,0,debate,opinion_2->agent_4_round_1,edge,[],1,13.66137,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_2->agent_3_round_1,edge,all_gather_r1,[],debate_round,0.0,13.661512,False,0,debate,opinion_2->agent_3_round_1,edge,[],1,13.661512,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
