absolute_end_time,absolute_start_time,agent_id,end_time,input_size_chars,input_size_tokens,latency,motif_type,node_id,output_size_chars,output_size_tokens,retry_count,start_time,status,tool_call_id,tool_name,workflow_name,workflow_run_id,written_to_shared_context
1780471378.14542,1780471371.334249,debate_web_context_search,6.914407,,,6.811171010835096,debate,debate_web_context_search,,,0,0.10323599999999988,success,8c484056-d61a-43cd-bf6a-7bd68470186f,search,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250,False
1780471266.7425137,1780471263.9185112,tool_agent_search,8.400576,,,2.8240024659316987,independent_multi_branch,tool_agent_search,,,0,5.576573999999999,success,1f76a3ab-d07f-47ac-9f06-2e15d3a0f7a4,search,evidence_collection,evidence_collection_20260603_152058_347660,False
1780471266.790824,1780471263.914442,searcher_search,8.446101,,,2.876381794922054,independent_multi_branch,searcher_search,,,0,5.569719000000001,success,98783af7-eac4-43f9-a573-c1ba878f560f,search,evidence_collection,evidence_collection_20260603_152058_347660,False
1780471267.1135912,1780471263.9153357,repo_searcher_search,8.767507,,,3.1982555030845106,independent_multi_branch,repo_searcher_search,,,0,5.5692509999999995,success,e7ccf640-32eb-48ce-a2d3-6021bc348b8f,search,evidence_collection,evidence_collection_20260603_152058_347660,False
1780471267.1239173,1780471263.916756,doc_searcher_search,8.778036,,,3.2071613259613514,independent_multi_branch,doc_searcher_search,,,0,5.570875,success,507b14bd-9e74-4a9a-9de7-22d4e8882da9,search,evidence_collection,evidence_collection_20260603_152058_347660,False
1780471424.408261,1780471421.401116,hier_web_context_search,3.046989,,,3.0071452101692557,manager_worker,hier_web_context_search,,,0,0.03984399999999999,success,8b14dd2b-458b-4113-b452-2743e8424e74,search,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008,False
1780471683.2756386,1780471680.972465,hybrid_agent_api_doc_mr0_search,7.911927,,,2.3031734710093588,hybrid_manager_peer,hybrid_agent_api_doc_mr0_search,,,0,5.608754,success,83c8ede4-17de-4fff-b605-14bb740263f5,search,hybrid,hybrid_20260603_152755_367539,False
1780471683.3345609,1780471680.9709086,hybrid_agent_code_localization_mr0_search,7.971865,,,2.3636523438617587,hybrid_manager_peer,hybrid_agent_code_localization_mr0_search,,,0,5.608213,success,c233f4d3-3eab-4140-89dd-1ef869696c53,search,hybrid,hybrid_20260603_152755_367539,False
1780471683.7360866,1780471680.9682531,hybrid_agent_issue_triage_mr0_search,8.371823,,,2.7678334570955485,hybrid_manager_peer,hybrid_agent_issue_triage_mr0_search,,,0,5.60399,success,ed6e42a3-70b9-4120-89d7-842f0c3e141c,search,hybrid,hybrid_20260603_152755_367539,False
1780471684.8588798,1780471680.9697037,hybrid_agent_repo_search_mr0_search,9.494707,,,3.8891761659178883,hybrid_manager_peer,hybrid_agent_repo_search_mr0_search,,,0,5.605531,success,73ed9356-3e59-4bee-9904-8c55e7e529a8,search,hybrid,hybrid_20260603_152755_367539,False
1780471711.4643514,1780471709.4327204,hybrid_agent_test_reasoning_mr1_search,36.100227,,,2.0316309279296547,hybrid_manager_peer,hybrid_agent_test_reasoning_mr1_search,,,0,34.068596,success,2b7f463a-660d-435c-adff-0418b6e0eea2,search,hybrid,hybrid_20260603_152755_367539,False
1780471711.5015063,1780471709.435651,hybrid_agent_patch_planning_mr1_search,36.13785,,,2.06585529493168,hybrid_manager_peer,hybrid_agent_patch_planning_mr1_search,,,0,34.071995,success,8f3ed13c-8153-4a9b-a41b-693fdb465c46,search,hybrid,hybrid_20260603_152755_367539,False
1780471711.778961,1780471709.4372728,hybrid_agent_repo_search_mr1_search,36.414083,,,2.3416880869772285,hybrid_manager_peer,hybrid_agent_repo_search_mr1_search,,,0,34.072395,success,c27ce696-9141-4202-a6fe-fa761cdf5cf1,search,hybrid,hybrid_20260603_152755_367539,False
