hardware,workload,run_id,request_ordinal,node_id,input_tokens,output_tokens,ttft_ms,tpot_ms,request_latency_sec
A6000,centralized_manager_worker,r1_20260817_213959_14146,1,manager_plan,90,224,46.40650749206543,23.815725950916786,5.357314227032475
A6000,centralized_manager_worker,r1_20260817_213959_14146,2,manager_worker_1,2217,200,360.6891632080078,24.79696992653698,5.295287153974641
A6000,centralized_manager_worker,r1_20260817_213959_14146,3,manager_worker_2,2217,224,393.56184005737305,24.715957085647926,5.905221836001147
A6000,centralized_manager_worker,r1_20260817_213959_14146,4,manager_worker_3,2216,248,395.4024314880371,24.677815224960263,6.490823443979025
A6000,centralized_manager_worker,r1_20260817_213959_14146,5,manager_collect,1032,224,175.6417751312256,23.98742367868466,5.5248386659659445
A6000,centralized_manager_worker,r1_20260817_213959_14146,6,manager_finalizer,325,124,75.79255104064941,23.846981002063288,3.0089729959727265
A6000,centralized_manager_worker,r2_20260817_214538_14723,1,manager_plan,90,224,38.67053985595703,23.839314422265296,5.354838386992924
A6000,centralized_manager_worker,r2_20260817_214538_14723,2,manager_worker_1,2222,200,288.8054847717285,24.757266643658355,5.2155025319661945
A6000,centralized_manager_worker,r2_20260817_214538_14723,3,manager_worker_2,2222,224,254.5793056488037,24.78937824745349,5.782611386966892
A6000,centralized_manager_worker,r2_20260817_214538_14723,4,manager_worker_3,2221,248,288.2242202758789,24.696378090121,6.388230592012405
A6000,centralized_manager_worker,r2_20260817_214538_14723,5,manager_collect,1032,224,144.58417892456055,24.005386326879663,5.497786409046967
A6000,centralized_manager_worker,r2_20260817_214538_14723,6,manager_finalizer,325,120,66.64466857910156,23.866587326306256,2.9067704569897614
A6000,debate_allgather_pressure_meso,r1_20260817_195543_30088,1,opinion_1,108,224,97.35250473022461,23.776939631577566,5.3996111750020646
A6000,debate_allgather_pressure_meso,r1_20260817_195543_30088,2,opinion_2,109,288,98.21748733520508,23.7841448302053,6.924268438015133
A6000,debate_allgather_pressure_meso,r1_20260817_195543_30088,3,opinion_3,108,352,95.96681594848633,23.769477154114984,8.439054724993184
A6000,debate_allgather_pressure_meso,r1_20260817_195543_30088,4,opinion_4,111,416,99.73669052124023,23.777261412287334,9.967301159049384
A6000,debate_allgather_pressure_meso,r1_20260817_195543_30088,5,agent_2_round_1,4159,256,777.4412631988525,25.66689229479023,7.322500357986428
A6000,debate_allgather_pressure_meso,r1_20260817_195543_30088,6,agent_1_round_1,4158,208,777.0934104919434,25.668053235408767,6.090381496993359
A6000,debate_allgather_pressure_meso,r1_20260817_195543_30088,7,agent_3_round_1,4158,304,724.912166595459,25.716389759932415,8.51697931997478
