submitted_ts,first_token_ts,completed_ts,prompt_tokens,output_tokens,ttft_ms,tpot_ms,latency_sec,phase,target_prompt_tokens,target_output_tokens,concurrency,repeat,request_index,cell_start_ts,cell_end_ts,cell_output_throughput_tok_s
1787559848.5164714,1787559848.5591428,1787559848.782409,128,16,42.67144203186035,14.884408315022787,0.26593756675720215,prefill,128,16,1,1,0,1787559848.5164714,1787559848.782409,60.16449723557789
1787559849.2879784,1787559849.3544552,1787559849.5806468,512,16,66.47682189941406,15.079434712727865,0.29266834259033203,prefill,512,16,1,1,0,1787559849.2879784,1787559849.5806468,54.66939081414862
1787559850.0908787,1787559850.188016,1787559850.418033,1024,16,97.1372127532959,15.334463119506836,0.32715415954589844,prefill,1024,16,1,1,0,1787559850.0908787,1787559850.418033,48.906607277158166
1787559850.9365714,1787559851.1141517,1787559851.3479924,2048,16,177.5803565979004,15.589380264282227,0.4114210605621338,prefill,2048,16,1,1,0,1787559850.9365714,1787559851.3479924,38.88959884099964
1787559851.885931,1787559852.2322664,1787559852.4734776,4096,16,346.33541107177734,16.080745061238606,0.5875465869903564,prefill,4096,16,1,1,0,1787559851.885931,1787559852.4734776,27.231883146421225
1787559852.979007,1787559853.0456927,1787559854.9848313,512,128,66.68567657470703,15.268808274757205,2.005824327468872,decode,512,128,1,1,0,1787559852.979007,1787559854.9848313,63.81416270961366
1787559855.7460756,1787559855.81658,1787559857.8257906,512,128,70.50442695617676,15.820555799589382,2.0797150135040283,decode,512,128,2,1,0,1787559855.7458599,1787559857.8367147,122.43795686524972
1787559855.7458599,1787559855.8655982,1787559857.8367147,512,128,119.73834037780762,15.52060269933986,2.0908548831939697,decode,512,128,2,1,1,1787559855.7458599,1787559857.8367147,122.43795686524972
1787559858.6076515,1787559858.8042336,1787559860.8401206,512,128,196.58207893371582,16.03060632240115,2.232469081878662,decode,512,128,4,1,0,1787559858.6074765,1787559860.8401206,229.32450556299034
1787559858.6079154,1787559858.804104,1787559860.8399603,512,128,196.18868827819824,16.030364149198757,2.2320449352264404,decode,512,128,4,1,1,1787559858.6074765,1787559860.8401206,229.32450556299034
1787559858.6077676,1787559858.8041894,1787559860.8400702,512,128,196.42186164855957,16.030557512298344,2.232302665710449,decode,512,128,4,1,2,1787559858.6074765,1787559860.8401206,229.32450556299034
1787559858.6074765,1787559858.682739,1787559860.8284569,512,128,75.26254653930664,16.895416214710146,2.220980405807495,decode,512,128,4,1,3,1787559858.6074765,1787559860.8401206,229.32450556299034
1787559861.6367033,1787559861.9859948,1787559864.1521394,512,128,349.2915630340576,17.05625676733302,2.5154361724853516,decode,512,128,8,1,0,1787559861.6333284,1787559864.1525867,406.4688467884694
1787559861.63641,1787559861.9848158,1787559864.1520116,512,128,348.4058380126953,17.064533834382306,2.515601634979248,decode,512,128,8,1,1,1787559861.6333284,1787559864.1525867,406.4688467884694
1787559861.6335554,1787559861.9852984,1787559864.1522322,512,128,351.7429828643799,17.062470668882835,2.5186767578125,decode,512,128,8,1,2,1787559861.6333284,1787559864.1525867,406.4688467884694
