run_path,node_id,motif_name,agent_role,criticality_proxy,request_e2e_sec,input_tokens,output_tokens,downstream_dependency_count,contribution_to_makespan_proxy,before_finalizer,evidence_quality
traces/week2_gpu_rerun/all_gather_round/manual_dc12e423df68/20260528_145029_523969.jsonl,agent_3,all_gather_round,peer_agent,background_candidate,3.967937,26,242,11,0.998994,True,proxy_supported
traces/week2_gpu_rerun/all_gather_round/manual_dc12e423df68/20260528_145029_523969.jsonl,agent_1,all_gather_round,peer_agent,background_candidate,3.998254,26,247,11,0.999099,True,proxy_supported
traces/week2_gpu_rerun/all_gather_round/manual_dc12e423df68/20260528_145029_523969.jsonl,agent_2,all_gather_round,peer_agent,background_candidate,4.011432,26,243,11,0.999002,True,proxy_supported
traces/week2_gpu_rerun/all_gather_round/manual_dc12e423df68/20260528_145029_523969.jsonl,agent_3_gathered,all_gather_round,peer_agent,background_candidate,4.127781,752,245,0,0.746118,True,proxy_supported
traces/week2_gpu_rerun/all_gather_round/manual_dc12e423df68/20260528_145029_523969.jsonl,agent_2_gathered,all_gather_round,peer_agent,background_candidate,4.127008,752,248,0,0.746015,True,proxy_supported
traces/week2_gpu_rerun/all_gather_round/manual_dc12e423df68/20260528_145029_523969.jsonl,agent_1_gathered,all_gather_round,peer_agent,background_candidate,4.12831,752,250,0,0.746079,True,proxy_supported
traces/week2_gpu_rerun/all_gather_round/manual_dc12e423df68/20260528_145029_523969.jsonl,aggregator,all_gather_round,aggregator,critical_candidate,3.839742,751,243,3,0.485553,True,proxy_supported
traces/week2_gpu_rerun/all_gather_round/manual_dc12e423df68/20260528_145029_523969.jsonl,finalizer,all_gather_round,finalizer,critical_candidate,3.73611,253,247,1,0.243718,True,proxy_supported
traces/week2_gpu_rerun/centralized/manual_21dd39443f0c/20260528_145206_675360.jsonl,manager_r0,centralized,manager,critical_candidate,3.733878,191,248,6,0.999402,True,proxy_supported
traces/week2_gpu_rerun/centralized/manual_21dd39443f0c/20260528_145206_675360.jsonl,central_agent_issue_triage_r0,centralized,issue_triage,unknown,3.899268,402,236,3,0.753086,True,proxy_supported
traces/week2_gpu_rerun/centralized/manual_21dd39443f0c/20260528_145206_675360.jsonl,central_agent_repo_search_r0,centralized,repo_search,unknown,3.912757,401,237,3,0.753121,True,proxy_supported
traces/week2_gpu_rerun/centralized/manual_21dd39443f0c/20260528_145206_675360.jsonl,manager_r1,centralized,manager,critical_candidate,3.790483,677,248,0,0.497944,True,proxy_supported
traces/week2_gpu_rerun/centralized/manual_21dd39443f0c/20260528_145206_675360.jsonl,finalizer,centralized,finalizer,critical_candidate,3.720489,253,245,1,0.250971,True,proxy_supported
traces/week2_gpu_rerun/coder_reviewer/manual_93b25fac5690/20260528_144917_545633.jsonl,coder,coder_reviewer,coder,critical_candidate,3.717566,29,236,2,0.999533,True,proxy_supported
traces/week2_gpu_rerun/coder_reviewer/manual_93b25fac5690/20260528_144917_545633.jsonl,reviewer,coder_reviewer,reviewer,critical_candidate,3.719469,247,247,3,0.801078,True,proxy_supported
traces/week2_gpu_rerun/coder_reviewer/manual_93b25fac5690/20260528_144917_545633.jsonl,coder_revise,coder_reviewer,coder,critical_candidate,3.732733,496,248,2,0.602311,True,proxy_supported
traces/week2_gpu_rerun/coder_reviewer/manual_93b25fac5690/20260528_144917_545633.jsonl,reviewer_round2,coder_reviewer,reviewer,critical_candidate,3.692797,252,241,3,0.403015,True,proxy_supported
traces/week2_gpu_rerun/coder_reviewer/manual_93b25fac5690/20260528_144917_545633.jsonl,finalizer,coder_reviewer,finalizer,critical_candidate,3.736571,504,246,1,0.205751,True,proxy_supported
traces/week2_gpu_rerun/debate_reviewer/manual_c52168a989f9/20260528_144952_660521.jsonl,candidate,debate_reviewer,generator,critical_candidate,3.723678,29,246,9,0.999646,True,proxy_supported
traces/week2_gpu_rerun/debate_reviewer/manual_c52168a989f9/20260528_144952_660521.jsonl,reviewer_3,debate_reviewer,reviewer,critical_candidate,3.992448,255,239,14,0.842516,True,proxy_supported
traces/week2_gpu_rerun/debate_reviewer/manual_c52168a989f9/20260528_144952_660521.jsonl,reviewer_2,debate_reviewer,reviewer,critical_candidate,4.007249,255,240,14,0.842492,True,proxy_supported
traces/week2_gpu_rerun/debate_reviewer/manual_c52168a989f9/20260528_144952_660521.jsonl,reviewer_1,debate_reviewer,reviewer,critical_candidate,4.005974,255,245,14,0.842431,True,proxy_supported
traces/week2_gpu_rerun/debate_reviewer/manual_c52168a989f9/20260528_144952_660521.jsonl,reviewer_2_r1,debate_reviewer,reviewer,critical_candidate,4.10969,754,245,0,0.67355,True,proxy_supported
traces/week2_gpu_rerun/debate_reviewer/manual_c52168a989f9/20260528_144952_660521.jsonl,reviewer_3_r1,debate_reviewer,reviewer,critical_candidate,4.108361,755,246,0,0.673489,True,proxy_supported
traces/week2_gpu_rerun/debate_reviewer/manual_c52168a989f9/20260528_144952_660521.jsonl,reviewer_1_r1,debate_reviewer,reviewer,critical_candidate,4.120416,749,246,0,0.673536,True,proxy_supported
traces/week2_gpu_rerun/debate_reviewer/manual_c52168a989f9/20260528_144952_660521.jsonl,reviewer_2_r2,debate_reviewer,reviewer,critical_candidate,4.161483,762,244,0,0.499763,True,proxy_supported
traces/week2_gpu_rerun/debate_reviewer/manual_c52168a989f9/20260528_144952_660521.jsonl,reviewer_3_r2,debate_reviewer,reviewer,critical_candidate,4.161924,761,246,0,0.499751,True,proxy_supported
traces/week2_gpu_rerun/debate_reviewer/manual_c52168a989f9/20260528_144952_660521.jsonl,reviewer_1_r2,debate_reviewer,reviewer,critical_candidate,4.175084,760,244,0,0.499828,True,proxy_supported
traces/week2_gpu_rerun/debate_reviewer/manual_c52168a989f9/20260528_144952_660521.jsonl,consensus,debate_reviewer,aggregator,critical_candidate,3.814046,739,244,3,0.32389,True,proxy_supported
traces/week2_gpu_rerun/debate_reviewer/manual_c52168a989f9/20260528_144952_660521.jsonl,finalizer,debate_reviewer,finalizer,critical_candidate,3.715839,254,243,1,0.163285,True,proxy_supported
traces/week2_gpu_rerun/decentralized/manual_27e1a618862f/20260528_145222_609820.jsonl,debate_agent_3,decentralized,debate_agent,unknown,3.925648,356,241,15,0.99775,True,proxy_supported
traces/week2_gpu_rerun/decentralized/manual_27e1a618862f/20260528_145222_609820.jsonl,debate_agent_2,decentralized,debate_agent,unknown,3.95591,356,240,15,0.996372,True,proxy_supported
traces/week2_gpu_rerun/decentralized/manual_27e1a618862f/20260528_145222_609820.jsonl,debate_agent_1,decentralized,debate_agent,unknown,3.968497,356,235,15,0.996314,True,proxy_supported
traces/week2_gpu_rerun/decentralized/manual_27e1a618862f/20260528_145222_609820.jsonl,debate_agent_3_r1,decentralized,debate_agent,unknown,4.070354,523,242,0,0.797347,True,proxy_supported
traces/week2_gpu_rerun/decentralized/manual_27e1a618862f/20260528_145222_609820.jsonl,debate_agent_1_r1,decentralized,debate_agent,unknown,4.086998,530,240,0,0.797419,True,proxy_supported
traces/week2_gpu_rerun/decentralized/manual_27e1a618862f/20260528_145222_609820.jsonl,debate_agent_2_r1,decentralized,debate_agent,unknown,4.086498,524,248,0,0.79734,True,proxy_supported
traces/week2_gpu_rerun/decentralized/manual_27e1a618862f/20260528_145222_609820.jsonl,debate_agent_3_r2,decentralized,debate_agent,unknown,4.129081,536,250,0,0.592251,True,proxy_supported
