run_path,motif_name/topology_name,tool_event_count,total_tool_time_sec,post_tool_request_count_1s,post_tool_request_count_3s,post_tool_request_count_5s,downstream_fanin_node_present,critical_candidate_present,barrier_wait_sec,request_burstiness_after_tool,opportunity_score,evidence_level
traces/week2_gpu_rerun/all_gather_round/manual_dc12e423df68/20260528_145029_523969.jsonl,all_gather_round,0,0,0,0,0,False,True,0.044526,0,2.045,not_observed
traces/week2_gpu_rerun/centralized/manual_21dd39443f0c/20260528_145206_675360.jsonl,centralized,2,4.323382,2,2,3,False,True,0.012946,2,6.013,proxy_only
traces/week2_gpu_rerun/coder_reviewer/manual_93b25fac5690/20260528_144917_545633.jsonl,coder_reviewer,0,0,0,0,0,False,True,0,0,2.0,not_observed
traces/week2_gpu_rerun/debate_reviewer/manual_c52168a989f9/20260528_144952_660521.jsonl,debate_reviewer,0,0,0,0,0,False,True,0.023131,0,2.023,not_observed
traces/week2_gpu_rerun/decentralized/manual_27e1a618862f/20260528_145222_609820.jsonl,decentralized,3,6.485073,3,3,6,False,True,0.029413,3,8.029,proxy_only
traces/week2_gpu_rerun/evidence_collection/manual_19e0d8666bad/20260528_144836_996702.jsonl,evidence_collection,4,8.646764,4,4,5,True,True,0.104189,4,10.104,observed_components
traces/week2_gpu_rerun/generator_verifier/manual_ef4d03134f7d/20260528_144905_644779.jsonl,generator_verifier,0,0,0,0,0,False,True,0,0,2.0,not_observed
traces/week2_gpu_rerun/hybrid/manual_61416f6f0e1b/20260528_145243_052539.jsonl,hybrid,5,10.808456,3,3,6,False,True,0.050378,3,8.05,proxy_only
traces/week2_gpu_rerun/independent/manual_6e39321b2b1b/20260528_145154_391962.jsonl,independent,3,6.485073,3,3,4,False,True,0.01508,3,8.015,proxy_only
traces/week2_gpu_rerun/multi_coder_branch/manual_1e2afed3402b/20260528_144936_764397.jsonl,multi_coder_branch,0,0,0,0,0,False,True,0.015831,0,2.016,not_observed
traces/week2_gpu_rerun/planner_executor/manual_c27d2520b5ff/20260528_144825_081217.jsonl,planner_executor,0,0,0,0,0,False,True,0,0,2.0,not_observed
traces/week2_gpu_rerun/researcher_synthesizer/manual_97f607126a93/20260528_144853_444832.jsonl,researcher_synthesizer,3,6.485073,3,3,4,False,True,0.028189,3,8.028,proxy_only
traces/week2_gpu_rerun/retry_debug_loop/manual_bcc48e5313e7/20260528_145058_609191.jsonl,retry_debug_loop,0,0,0,0,0,False,True,0,0,2.0,not_observed
traces/week2_gpu_rerun/router_handoff/manual_7ab0388a426c/20260528_145121_712324.jsonl,router_handoff,0,0,0,0,0,False,True,0,0,2.0,not_observed
traces/week2_gpu_rerun/shared_evidence_store/manual_851f55e7f907/20260528_145046_001939.jsonl,shared_evidence_store,3,6.485073,3,3,5,False,True,0.04312,3,8.043,proxy_only
traces/week2_gpu_rerun/single/manual_c716493a3119/20260528_145146_372053.jsonl,single,1,2.161691,1,1,2,False,True,0,1,4.0,proxy_only
traces/week2_gpu_rerun/tool_resume_contention_meso/manual_2eeb1af41376/20260528_144746_528234.jsonl,tool_resume_contention_meso,4,8.00118,4,5,5,True,True,3.895977,5,12,observed_components
traces/week2_gpu_rerun/tool_specialist_team/manual_04e216de1e75/20260528_145016_969902.jsonl,tool_specialist_team,4,8.646764,4,4,5,True,True,0.222909,4,10.223,observed_components
